Electrode_ID,Neuron_ID,Spike_Frame,Spike_Time_Seconds
Ch20,Ch20_U1,7672,0.1918
Ch8,Ch8_U2,7724,0.1931
Ch19,Ch19_U4,7751,0.193775
Ch13,Ch13_U1,7768,0.1942
Ch32,Ch32_U3,7776,0.1944
Ch0,Ch0_U1,7778,0.19445
Ch18,Ch18_U1,7780,0.1945
Ch54,Ch54_U2,7792,0.1948
Ch26,Ch26_U3,7799,0.194975
Ch20,Ch20_U2,7807,0.195175
Ch26,Ch26_U2,7823,0.195575
Ch6,Ch6_U2,7823,0.195575
Ch0,Ch0_U1,7823,0.195575
Ch12,Ch12_U1,7828,0.1957
Ch26,Ch26_U3,7839,0.195975
Ch3,Ch3_U1,7848,0.1962
Ch12,Ch12_U1,7848,0.1962
Ch8,Ch8_U1,7852,0.1963
Ch31,Ch31_U1,7853,0.196325
Ch32,Ch32_U1,7853,0.196325
Ch30,Ch30_U2,7854,0.19635
Ch26,Ch26_U3,7857,0.196425
Ch52,Ch52_U1,7867,0.196675
Ch54,Ch54_U3,7872,0.1968
Ch34,Ch34_U1,7880,0.197
Ch18,Ch18_U2,7881,0.197025
Ch7,Ch7_U1,7888,0.1972
Ch36,Ch36_U2,7895,0.197375
Ch20,Ch20_U3,7904,0.1976
Ch38,Ch38_U1,7905,0.197625
Ch0,Ch0_U1,7913,0.197825
Ch30,Ch30_U2,7913,0.197825
Ch52,Ch52_U2,7915,0.197875
Ch8,Ch8_U2,7928,0.1982
Ch36,Ch36_U2,7935,0.198375
Ch5,Ch5_U1,7937,0.198425
Ch0,Ch0_U1,7943,0.198575
Ch20,Ch20_U4,7944,0.1986
Ch36,Ch36_U2,7953,0.198825
Ch8,Ch8_U1,7955,0.198875
Ch51,Ch51_U1,7956,0.1989
Ch6,Ch6_U2,7958,0.19895
Ch54,Ch54_U2,7959,0.198975
Ch8,Ch8_U2,7968,0.1992
Ch51,Ch51_U1,7985,0.199625
Ch22,Ch22_U2,7991,0.199775
Ch26,Ch26_U2,7996,0.1999
Ch6,Ch6_U2,7999,0.199975
Ch29,Ch29_U2,8003,0.200075
Ch32,Ch32_U2,8012,0.2003
Ch47,Ch47_U1,8013,0.200325
Ch8,Ch8_U1,8048,0.2012
Ch37,Ch37_U1,8080,0.202
Ch20,Ch20_U4,8086,0.20215
Ch51,Ch51_U1,8101,0.202525
Ch0,Ch0_U1,8114,0.20285
Ch29,Ch29_U2,8150,0.20375
Ch0,Ch0_U1,8156,0.2039
Ch6,Ch6_U2,8159,0.203975
Ch51,Ch51_U1,8162,0.20405
Ch54,Ch54_U2,8166,0.20415
Ch47,Ch47_U2,8172,0.2043
Ch31,Ch31_U2,8184,0.2046
Ch29,Ch29_U3,8185,0.204625
Ch30,Ch30_U1,8230,0.20575
Ch51,Ch51_U1,8231,0.205775
Ch0,Ch0_U1,8236,0.2059
Ch51,Ch51_U1,8256,0.2064
Ch30,Ch30_U2,8288,0.2072
Ch26,Ch26_U1,8316,0.2079
Ch21,Ch21_U1,8357,0.208925
Ch51,Ch51_U1,8360,0.209
Ch35,Ch35_U1,8367,0.209175
Ch8,Ch8_U2,8368,0.2092
Ch51,Ch51_U1,8380,0.2095
Ch8,Ch8_U2,8383,0.209575
Ch29,Ch29_U2,8395,0.209875
Ch54,Ch54_U2,8396,0.2099
Ch8,Ch8_U1,8401,0.210025
Ch38,Ch38_U2,8496,0.2124
Ch31,Ch31_U1,8497,0.212425
Ch16,Ch16_U1,8499,0.212475
Ch21,Ch21_U2,8506,0.21265
Ch54,Ch54_U2,8506,0.21265
Ch30,Ch30_U2,8508,0.2127
Ch31,Ch31_U2,8514,0.21285
Ch0,Ch0_U1,8515,0.212875
Ch36,Ch36_U4,8516,0.2129
Ch54,Ch54_U3,8527,0.213175
Ch51,Ch51_U1,8541,0.213525
Ch40,Ch40_U1,8563,0.214075
Ch26,Ch26_U4,8569,0.214225
Ch36,Ch36_U2,8602,0.21505
Ch36,Ch36_U2,8631,0.215775
Ch30,Ch30_U1,8632,0.2158
Ch51,Ch51_U1,8632,0.2158
Ch31,Ch31_U1,8651,0.216275
Ch26,Ch26_U4,8661,0.216525
Ch0,Ch0_U1,8678,0.21695
Ch54,Ch54_U2,8706,0.21765
Ch51,Ch51_U1,8725,0.218125
Ch51,Ch51_U1,8748,0.2187
Ch30,Ch30_U2,8788,0.2197
Ch29,Ch29_U2,8793,0.219825
Ch31,Ch31_U1,8793,0.219825
Ch36,Ch36_U3,8802,0.22005
Ch36,Ch36_U1,8821,0.220525
Ch26,Ch26_U4,8823,0.220575
Ch0,Ch0_U1,8826,0.22065
