Unit_ID,Primary_Channel,Spike_Time_s
6,9,0.15
17,22,0.3485
11,15,0.6586428571428572
20,25,0.7966428571428571
30,37,0.8149285714285714
25,31,0.8668571428571429
33,42,1.1345
31,39,1.1677857142857142
11,15,1.5222142857142857
35,50,1.5304285714285715
37,57,1.5427857142857142
35,50,1.7348571428571429
11,15,1.8645714285714285
6,9,2.1188571428571428
13,19,2.153785714285714
32,39,2.246
37,57,2.5495714285714284
17,22,2.7992857142857144
2,5,3.064
32,39,3.2477857142857145
6,9,3.2719285714285715
34,44,3.5820714285714286
11,15,3.9860714285714285
32,39,4.117142857142857
13,19,4.1574285714285715
2,5,4.210285714285714
2,5,4.264857142857143
32,39,4.3733571428571425
32,39,4.9758571428571425
15,20,5.145928571428572
35,50,5.239142857142857
22,29,5.493571428571428
6,9,5.5084285714285715
16,20,5.575142857142857
32,39,5.914928571428572
20,25,5.997214285714286
32,39,6.074214285714286
32,39,6.2131428571428575
32,39,6.297714285714286
25,31,6.4634285714285715
2,5,6.522571428571428
13,19,6.811928571428571
35,50,7.215428571428571
32,39,7.654214285714286
2,5,7.699285714285714
11,15,7.809214285714286
6,9,7.839285714285714
7,11,7.840642857142857
8,13,7.856642857142857
37,57,7.857214285714286
26,34,7.862
16,20,7.862785714285715
8,13,7.865928571428571
24,31,7.8742857142857146
21,25,7.876142857142857
22,29,7.877642857142857
17,22,7.879714285714286
22,29,7.8805
29,36,7.884285714285714
35,50,7.8855
25,31,7.887071428571429
40,63,7.890357142857143
17,22,7.891571428571429
38,60,7.8926428571428575
0,1,7.895214285714285
7,11,7.897428571428572
8,13,7.899857142857143
11,15,7.900214285714286
37,57,7.900785714285714
40,63,7.902428571428572
29,36,7.906214285714285
22,29,7.909071428571429
34,44,7.909642857142857
20,25,7.911928571428572
17,22,7.914071428571429
29,36,7.9151428571428575
40,63,7.915571428571429
20,25,7.918357142857142
2,5,7.919
34,44,7.920714285714285
38,60,7.921142857142857
17,22,7.926857142857143
3,6,7.928071428571428
29,36,7.930428571428571
22,29,7.931642857142857
19,23,7.932571428571428
6,9,7.934
2,5,7.936357142857143
22,29,7.943642857142857
18,22,7.948857142857143
9,13,7.95
33,42,7.951785714285714
34,44,7.952714285714285
6,9,7.9535
21,25,7.9536428571428575
22,29,7.956785714285714
34,44,7.957857142857143
22,29,7.960642857142857
6,9,7.961142857142857
19,23,7.962785714285714
6,9,7.9655
20,25,7.967214285714285
23,29,7.968642857142857
17,22,7.970857142857143
23,29,7.9717142857142855
20,25,7.971785714285715
13,19,7.974285714285714
7,11,7.9758571428571425
6,9,7.979857142857143
29,36,7.980785714285714
16,20,7.983214285714285
36,50,7.987
34,44,7.987857142857143
17,22,7.992285714285714
29,36,7.9935
16,20,7.994071428571429
34,44,7.996357142857143
6,9,7.9980714285714285
20,25,8.000214285714286
7,11,8.002857142857144
22,29,8.005214285714287
29,36,8.010714285714286
34,44,8.011214285714285
20,25,8.017285714285714
20,25,8.025571428571428
38,60,8.026714285714286
7,11,8.027214285714285
26,34,8.031214285714286
29,36,8.031714285714285
38,60,8.032571428571428
12,15,8.033142857142858
2,5,8.033928571428572
36,50,8.0345
20,25,8.036214285714285
7,11,8.038357142857143
34,44,8.040142857142857
29,36,8.045214285714286
17,22,8.048214285714286
6,9,8.05
22,29,8.059928571428571
34,44,8.066642857142858
29,36,8.067285714285715
34,44,8.0705
22,29,8.071285714285715
20,25,8.075214285714285
22,29,8.07842857142857
8,13,8.087071428571429
29,36,8.089571428571428
34,44,8.090285714285715
40,63,8.092714285714285
22,29,8.093571428571428
16,20,8.096142857142857
38,60,8.096785714285714
2,5,8.097857142857142
22,29,8.099285714285715
7,11,8.100857142857143
37,57,8.103714285714286
2,5,8.104214285714285
5,7,8.105142857142857
33,42,8.105714285714285
20,25,8.109571428571428
22,29,8.111642857142858
22,29,8.112428571428572
13,19,8.113928571428572
20,25,8.115
